Dataset: moons_1000_0.1, Train Acc: 0.8250, Test Acc: 0.7700
Dataset: moons_1000_0.2, Train Acc: 0.8014, Test Acc: 0.6450
Dataset: moons_1000_0.3, Train Acc: 0.7722, Test Acc: 0.5750
Dataset: moons_1000_0.4, Train Acc: 0.7389, Test Acc: 0.5200
Dataset: moons_1000_0.5, Train Acc: 0.7625, Test Acc: 0.4750
Dataset: moons_1000_0.6, Train Acc: 0.7347, Test Acc: 0.5100
Dataset: moons_5000_0.1, Train Acc: 0.7356, Test Acc: 0.6970
Dataset: moons_5000_0.2, Train Acc: 0.7100, Test Acc: 0.6870
Dataset: moons_5000_0.3, Train Acc: 0.6628, Test Acc: 0.6150
Dataset: moons_5000_0.4, Train Acc: 0.6578, Test Acc: 0.5830
Dataset: moons_5000_0.5, Train Acc: 0.6328, Test Acc: 0.5940
Dataset: moons_5000_0.6, Train Acc: 0.6322, Test Acc: 0.5540
Dataset: moons_10000_0.1, Train Acc: 0.7401, Test Acc: 0.7250
Dataset: moons_10000_0.2, Train Acc: 0.6690, Test Acc: 0.6395
Dataset: moons_10000_0.3, Train Acc: 0.6403, Test Acc: 0.6035
Dataset: moons_10000_0.4, Train Acc: 0.6256, Test Acc: 0.5770
Dataset: moons_10000_0.5, Train Acc: 0.6231, Test Acc: 0.5770
Dataset: moons_10000_0.6, Train Acc: 0.6151, Test Acc: 0.5835
Dataset: moons_20000_0.1, Train Acc: 0.7278, Test Acc: 0.7213
Dataset: moons_20000_0.2, Train Acc: 0.6600, Test Acc: 0.6468
Dataset: moons_20000_0.3, Train Acc: 0.6545, Test Acc: 0.6463
Dataset: moons_20000_0.4, Train Acc: 0.6405, Test Acc: 0.6290
Dataset: moons_20000_0.5, Train Acc: 0.6157, Test Acc: 0.5993
Dataset: moons_20000_0.6, Train Acc: 0.6072, Test Acc: 0.5803
Dataset: circles_1000_0.1, Train Acc: 0.7597, Test Acc: 0.6050
Dataset: circles_1000_0.2, Train Acc: 0.7597, Test Acc: 0.4800
Dataset: circles_1000_0.3, Train Acc: 0.7306, Test Acc: 0.5500
Dataset: circles_1000_0.4, Train Acc: 0.7014, Test Acc: 0.4550
Dataset: circles_1000_0.5, Train Acc: 0.7264, Test Acc: 0.5450
Dataset: circles_1000_0.6, Train Acc: 0.7278, Test Acc: 0.5100
Dataset: circles_5000_0.1, Train Acc: 0.6611, Test Acc: 0.6080
Dataset: circles_5000_0.2, Train Acc: 0.6158, Test Acc: 0.5300
Dataset: circles_5000_0.3, Train Acc: 0.6108, Test Acc: 0.5040
Dataset: circles_5000_0.4, Train Acc: 0.6172, Test Acc: 0.5140
Dataset: circles_5000_0.5, Train Acc: 0.6061, Test Acc: 0.4900
Dataset: circles_5000_0.6, Train Acc: 0.5992, Test Acc: 0.5080
Dataset: circles_10000_0.1, Train Acc: 0.6493, Test Acc: 0.6070
Dataset: circles_10000_0.2, Train Acc: 0.5974, Test Acc: 0.5150
Dataset: circles_10000_0.3, Train Acc: 0.5769, Test Acc: 0.5125
Dataset: circles_10000_0.4, Train Acc: 0.5829, Test Acc: 0.5135
Dataset: circles_10000_0.5, Train Acc: 0.5760, Test Acc: 0.5230
Dataset: circles_10000_0.6, Train Acc: 0.5640, Test Acc: 0.4985
Dataset: circles_20000_0.1, Train Acc: 0.6431, Test Acc: 0.6245
Dataset: circles_20000_0.2, Train Acc: 0.5796, Test Acc: 0.5495
Dataset: circles_20000_0.3, Train Acc: 0.5647, Test Acc: 0.5218
Dataset: circles_20000_0.4, Train Acc: 0.5593, Test Acc: 0.5160
Dataset: circles_20000_0.5, Train Acc: 0.5549, Test Acc: 0.5028
Dataset: circles_20000_0.6, Train Acc: 0.5528, Test Acc: 0.5120
